ID,Posted at,Screen name,Text
524657870277971968,2014-10-21 20:25:58 +0000,jonah124,RT @SPCStars: Back 2 back national championships and a worlds in between for @dragNthrust #CharterRepresent #NationalsTX
524637188383047681,2014-10-21 19:03:47 +0000,DeweyDewhurst,RT @FulcrumPro: @SockeyeUltimate vs @TruckStopUlti in the @USAUltimate pro-flight elimination game | https://vimeo.com/109390783 #NationalsTX
524636998020370433,2014-10-21 19:03:02 +0000,87til,RT @FulcrumPro: @SockeyeUltimate vs @TruckStopUlti in the @USAUltimate pro-flight elimination game | https://vimeo.com/109390783 #NationalsTX
524636700317073408,2014-10-21 19:01:51 +0000,tzibby12,"RT @USAUltimate: Your 2014 Men's National Championship:
@BravoUltimate #NationalsTX http://t.co/xD3FuAGacf"
524556105393790976,2014-10-21 13:41:35 +0000,phototino,Photos on photos on photos... Complete game coverage of the Mixed Division Finals is now online at http://gallery.tinotran.com/Nationals2014. #NationalsTX
524553736077975552,2014-10-21 13:32:11 +0000,sludgebrown,"Scandal 2014 Season: 
5th at #usopenmn
2nd at #chesapeakeinvite
Bronze at #WUCC2014
3rd at #ecc2014
1st at #MARegionals
1st at #NationalsTX"
524506451151425536,2014-10-21 10:24:17 +0000,anjelloo,RT @UltimteProblems: Teams at #NationalsTX-ebola is only in TX and is only transfered by fluids so just dont make out with @doublewidetx or @txshowdown #zipstips
524500650705833984,2014-10-21 10:01:14 +0000,dragNthrust,RT @USAUltimate: Brittany Winner recaps the mixed division championship between @dragNthrust & Seattle Mixed http://www.usaultimate.org/news/2014-nationals--mixed-division-day-4-recap/ #NationalsTX
524450891991371776,2014-10-21 06:43:31 +0000,EJealous,"RT @USAUltimate: Your 2014 Men's National Championship:
@BravoUltimate #NationalsTX http://t.co/xD3FuAGacf"
524429192466022400,2014-10-21 05:17:17 +0000,betty_gone_wild,RT @USAUltimate: Leah Brown recaps the women's division championship between @ScandalUltimate & @furyultimate http://www.usaultimate.org/news/2014-nationals--mixed-division-day-4-recap/ #NationalsTX
524412060395143169,2014-10-21 04:09:12 +0000,Union_Ultimate,RT @USAUltimate: Brittany Winner recaps the mixed division championship between @dragNthrust & Seattle Mixed http://www.usaultimate.org/news/2014-nationals--mixed-division-day-4-recap/ #NationalsTX
524407175813160960,2014-10-21 03:49:48 +0000,USCHellions,RT @FiveUltimateLLC: Heading home from #NationalsTX and there are tons of ultimate players on this flight. This is such a great community. #somanyfriends
524398296895586304,2014-10-21 03:14:31 +0000,turbogunhawk,RT @USAUltimate: Brittany Winner recaps the mixed division championship between @dragNthrust & Seattle Mixed http://www.usaultimate.org/news/2014-nationals--mixed-division-day-4-recap/ #NationalsTX
524391899231428608,2014-10-21 02:49:06 +0000,USAUltimate,Greg Gipson recaps the men's division championship between @BravoUltimate & @Boston_Ironside http://www.usaultimate.org/news/2014-nationals--mens-division-day-4-recap/ #NationalsTX
524391512315289600,2014-10-21 02:47:33 +0000,USAUltimate,Leah Brown recaps the women's division championship between @ScandalUltimate & @furyultimate http://www.usaultimate.org/news/2014-nationals--mixed-division-day-4-recap/ #NationalsTX
524391301811560448,2014-10-21 02:46:43 +0000,USAUltimate,Brittany Winner recaps the mixed division championship between @dragNthrust & Seattle Mixed http://www.usaultimate.org/news/2014-nationals--mixed-division-day-4-recap/ #NationalsTX
524389778306117633,2014-10-21 02:40:40 +0000,SHEADYguy,".@theAUDL #NationalsTX is over, when are we getting more expansion announcements?"
524388799481401344,2014-10-21 02:36:47 +0000,junelgraham,RT @KK24ultimate: Thank you @USAUltimate and @DiscraftULT for an unforgettable weekend!! We appreciate all you do for Ultimate #NationalsTX @ColumbusMixed
524384124556312577,2014-10-21 02:18:12 +0000,FrisbeeFacts,"RT @USAUltimate: Your 2014 Men's National Championship:
@BravoUltimate #NationalsTX http://t.co/xD3FuAGacf"
524368054474801152,2014-10-21 01:14:21 +0000,shellypeyton,"RT @kawena13: RT @USAUltimate: Congratulations to Leila Tunnell @100percentBS, the 2014 recipient of the Kathy Pufahl Spirit Award. #NationalsTX"
524367495399239680,2014-10-21 01:12:07 +0000,SHEADYguy,"Been silent here recently because I didn't get to watch the #NationalsTX finals live. Watched mixed and women's finals yesterday, men's now."
524361460227772416,2014-10-21 00:48:08 +0000,scdiscgolfer77,"RT @USAUltimate: Your 2014 Mixed National Champions and Spirit Championships:
@dragNthrust 
#NationalsTX http://t.co/ArvEZazki6"
