ID,Posted at,Screen name,Text
523970025410273281,2014-10-19 22:52:43 +0000,Ultiworldlive,"Fittingly, Gibson finds Mickle. Johnny Bravo are champs for the first time ever. 13-11 your final."
523968927337291776,2014-10-19 22:48:21 +0000,Ultiworldlive,Neff over the top to Garcia. Bravo 12-11 Ironside. Game point o for Bravo
523968140498460672,2014-10-19 22:45:14 +0000,Ultiworldlive,Pure d-line out there for Bravo.
523967951255642113,2014-10-19 22:44:29 +0000,Ultiworldlive,Smith scores from Mickle. Bravo 12-10 Ironside
523967212185743360,2014-10-19 22:41:32 +0000,Ultiworldlive,Bravo with it on the goal line. Brodie on the cone.
523966589952348160,2014-10-19 22:39:04 +0000,Ultiworldlive,Stubbs to Foster for the goal. Pretty throw. Bravo 11-10 Ironside
523965957870346240,2014-10-19 22:36:33 +0000,Ultiworldlive,"RT @kdubsultimate: If we are going to cap every game, why not make them timed? Easier for fans to understand. @USAUltimate"
523965497919148033,2014-10-19 22:34:44 +0000,Ultiworldlive,Forshee scoober for Lance into the endzone. Bravo 11-9 Ironside. Soft cap is on. Game to 13
523964833168101376,2014-10-19 22:32:05 +0000,Ultiworldlive,Lokke with a d for Bravo
523964688334598145,2014-10-19 22:31:31 +0000,Ultiworldlive,Muffin with the disc at the brick.
523964156786270208,2014-10-19 22:29:24 +0000,Ultiworldlive,"Farrell with a blade for Keegan and Bravo finish out this long. But, there's another stoppage. The score stands. Bravo 10-9 Ironside."
523963661929697280,2014-10-19 22:27:26 +0000,Ultiworldlive,Gibson gets a run through.
523963241442316289,2014-10-19 22:25:46 +0000,Ultiworldlive,"Herscu off, Cricket on for Ironside."
523963140468654081,2014-10-19 22:25:22 +0000,Ultiworldlive,Watson misses Kloor. Kloor injured. Mcshane comes in.
523962913393221632,2014-10-19 22:24:27 +0000,Ultiworldlive,Stubbs misses on the break chance. Bravo O with another shot to hold.
523961774006349825,2014-10-19 22:19:56 +0000,Ultiworldlive,Cricket scores for Ironside. Bravo 9-9 Ironside
523960855692869633,2014-10-19 22:16:17 +0000,Ultiworldlive,Brodie scores from Gibson. Bravo 9-8 Ironside
523959792331919360,2014-10-19 22:12:03 +0000,Ultiworldlive,Bravo take a timeout to give their o line a break.
523959703039377409,2014-10-19 22:11:42 +0000,Ultiworldlive,Gibson saves the point with the tip. Bravo trying to get a hold.
523959388474978305,2014-10-19 22:10:27 +0000,Ultiworldlive,Mickle turns it over.
523959343579160576,2014-10-19 22:10:16 +0000,Ultiworldlive,Wallack comes in for John Stubbs as Ironside look to break. Stubbs special to Babbitt gets block by Morgan.
523958277424418817,2014-10-19 22:06:02 +0000,Ultiworldlive,Muffin to Piers for the score. Ironside 8-8 Bravo #nationalsTX
523957902806368256,2014-10-19 22:04:33 +0000,Ultiworldlive,Bravo give it back. Muffin with the disc.
523957596093706241,2014-10-19 22:03:20 +0000,Ultiworldlive,Ryan Farrell with a bidding block.
523956271167602688,2014-10-19 21:58:04 +0000,Ultiworldlive,...or if McCarthy sent them on to give his offense some help on the turn.
523956115194015746,2014-10-19 21:57:27 +0000,Ultiworldlive,Krier said last night that Bravo was looking to force GOAT to mix up their lines.  Not sure if Stubbs and Babbitt switch was purposeful...
523955474266607617,2014-10-19 21:54:54 +0000,Ultiworldlive,"Mickle and Gibson joining Lance there on that D point, with Kloor coming in on the injury sub. Krier using his offense to convert the break."
523955187195846656,2014-10-19 21:53:45 +0000,Ultiworldlive,Gibson scores from Lance. Lance and Mickle just took over for Bravo's offense there. Bravo 8-7 Ironside. That's the half. #NationalsTX
523953746842488834,2014-10-19 21:48:02 +0000,Ultiworldlive,Watson to Ackley for the score. Ironside 7-7 Bravo. Bravo calls timeout here and will come out looking to get the second break back for half
523952989791617024,2014-10-19 21:45:02 +0000,Ultiworldlive,Stubbs and Babbitt were both on the o line for that last point. They both return for this d point for Ironside.
523952724833222657,2014-10-19 21:43:58 +0000,Ultiworldlive,Stubbs for Foster in the endzone. Ironside 7-6 Bravo.
523952084946022400,2014-10-19 21:41:26 +0000,Ultiworldlive,Bravo D get it back and Peterson makes an appearance in the endzone on the end of the McShane hammer. Ironside 6-6 Bravo.
523950900793319424,2014-10-19 21:36:43 +0000,Ultiworldlive,Hank Conker bodies up for the D and McShane calls timeout. Bravo looking to get one of the two breaks back.
523950072279859200,2014-10-19 21:33:26 +0000,Ultiworldlive,Watson to Kloor. Ironside 6-5 Bravo.
523949594083094530,2014-10-19 21:31:32 +0000,Ultiworldlive,Muffin finds Brian Garcia for the score. Ironside 6-4 Bravo
523949389749157888,2014-10-19 21:30:43 +0000,Ultiworldlive,Lance gets the D but Danny Clark snags it back
523949082419945473,2014-10-19 21:29:30 +0000,Ultiworldlive,Mickle to R. Farrell for the score. Ironside 5-4 Bravo.
523948329152299008,2014-10-19 21:26:30 +0000,Ultiworldlive,Ironside BREAK. Wallack to Simmons. Ironside 2/2 on break chances. Ironside 5-3 Bravo
523947981218017280,2014-10-19 21:25:07 +0000,Ultiworldlive,Keegan overthrows Gibson. Turnover.
523947702682652672,2014-10-19 21:24:01 +0000,Ultiworldlive,"Rebholz to Cricket for the score. Ironside in control so far, but Bravo not far away. Ironside 4-3 Bravo"
523946937004077056,2014-10-19 21:20:58 +0000,Ultiworldlive,Smith to Gibson for the goal. Ironside 3-3 Bravo
523946785086377985,2014-10-19 21:20:22 +0000,Ultiworldlive,Babbitt shaking his head as he listens to Brodie. Upheld.
523946649174155264,2014-10-19 21:19:50 +0000,Ultiworldlive,Babbitt Ds up Brodie. We have a call.
523946073203933184,2014-10-19 21:17:32 +0000,Ultiworldlive,Easy Ironside O. Cricket slings one in for Danny Clark. Ironside 3-2 Bravo.
523945523670450176,2014-10-19 21:15:21 +0000,Ultiworldlive,Gibson finds Mickle. Ironside 2-2 Bravo.
523945003715158016,2014-10-19 21:13:17 +0000,Ultiworldlive,Mickle floats a huck too high and Stubbs with a counterstike to Babbitt. Break for Ironside. Ironside 2-1 Bravo
523944452516503552,2014-10-19 21:11:06 +0000,Ultiworldlive,Kapinos was a huge presence on offense yesterday against Ring.
523944357591007232,2014-10-19 21:10:43 +0000,Ultiworldlive,"For those keeping track, Ironside's Alex Kapinos is on crutches on the sideline."
523944201487396864,2014-10-19 21:10:06 +0000,Ultiworldlive,Muffin goes full field from a standstill to find Neff. Neff snags the assist. 1-1
523943848935182337,2014-10-19 21:08:42 +0000,Ultiworldlive,"To open the game, we see Mickle leap up and sky for the point. Bravo 1-0 Ironside"
523932617134325760,2014-10-19 20:24:04 +0000,Ultiworldlive,Johnston dishes to White on the move and Scandal take the game. Final score Scandal 12-10 Fury #nationalsTX
523932292948180992,2014-10-19 20:22:47 +0000,Ultiworldlive,Disc goes back Mercier.
523932148487970816,2014-10-19 20:22:13 +0000,Ultiworldlive,White standing waiting for observers to rule on what should be the game.
523931993520996352,2014-10-19 20:21:36 +0000,Ultiworldlive,Hard cap is on.
523931891159007232,2014-10-19 20:21:11 +0000,Ultiworldlive,Fury turn it at mid field.
523931765464133634,2014-10-19 20:20:41 +0000,Ultiworldlive,Foul is overturned. Fury disc.
523931694865608704,2014-10-19 20:20:24 +0000,Ultiworldlive,Payne calls a foul as o'connor tries to find her on a high stall.
523931510685331456,2014-10-19 20:19:40 +0000,Ultiworldlive,O'Connor to pick up.
523931229859872769,2014-10-19 20:18:34 +0000,Ultiworldlive,Fury injury and the clock has stopped.
523930974024126465,2014-10-19 20:17:33 +0000,Ultiworldlive,These picks could be hurting Fury.
523930838908796928,2014-10-19 20:17:00 +0000,Ultiworldlive,Excellent D from Fury as time continues to tick away.
523930254793244673,2014-10-19 20:14:41 +0000,Ultiworldlive,5 minutes to hard cap.
523929935254396928,2014-10-19 20:13:25 +0000,Ultiworldlive,Howard puts it in to Narayan for Fury. Scandal 11-10 Fury.
523929789020000257,2014-10-19 20:12:50 +0000,Ultiworldlive,Travel called. Coming back for fury.
523929537877663744,2014-10-19 20:11:50 +0000,Ultiworldlive,Howard tries her luck and draws a foul.
523929322558877696,2014-10-19 20:10:59 +0000,Ultiworldlive,Foul called on the huck. It's uncontested and Romano will have it for Fury.
523928569819709440,2014-10-19 20:07:59 +0000,Ultiworldlive,Scandal hang on to break and we have a game to 13. Scandal 11-9 Fury.
523928190897889281,2014-10-19 20:06:29 +0000,Ultiworldlive,Opi being Opi. Horizontal D and an overruled foul call.
523927734805086209,2014-10-19 20:04:40 +0000,Ultiworldlive,Fury have a wide open chance and miss the end zone again.
523927507587072000,2014-10-19 20:03:46 +0000,Ultiworldlive,Payne with a throwaway.
523927048340115456,2014-10-19 20:01:57 +0000,Ultiworldlive,Mercier takes a timeout. Scandal are a few yards away from a crucial break. Fury need a big stand. #nationalsTX
523926760753479680,2014-10-19 20:00:48 +0000,Ultiworldlive,Ruden turfs it for Fury.
523926575772098560,2014-10-19 20:00:04 +0000,Ultiworldlive,Soft cap horn blows. We'll add 2 at the end of the point.
523926219214303232,2014-10-19 19:58:39 +0000,Ultiworldlive,O'Connor putting up a big floater to Jorgensen for a Scandal break. Scandal 10-9 Fury.
523925824823894018,2014-10-19 19:57:05 +0000,Ultiworldlive,&lt; 3 minutes until cap
